goal_id,organization_id,parent_goal_id,level,owner_type,owner_id,scope_team_id,scope_territory_id,scope_user_id,metric_key,fiscal_period_id,target_value,currency,split_method,relation_type,confidence,status,version,approved_by,approved_at
g_nova_q3_mktg_paid,org_fintech_nova,g_nova_q3_mktg,CHANNEL,org_unit,team_growth,team_growth,,,sourced_pipeline,FY26-Q3,4300000,USD,HISTORICAL,SUM,0.5,APPROVED,1,u_chris,2026-06-27
g_nova_q3_mktg_organic,org_fintech_nova,g_nova_q3_mktg,CHANNEL,org_unit,team_growth,team_growth,,,sourced_pipeline,FY26-Q3,3100000,USD,HISTORICAL,SUM,0.6,APPROVED,1,u_chris,2026-06-27
g_nova_q3_mktg_partner,org_fintech_nova,g_nova_q3_mktg,CHANNEL,org_unit,team_growth,team_growth,,,sourced_pipeline,FY26-Q3,2840000,USD,HISTORICAL,SUM,0.58,APPROVED,1,u_chris,2026-06-27
g_pulse_q3_company,org_healthops_pulse,,COMPANY,org_unit,team_company,,,,net_new_arr,FY26-Q3,1750000,USD,TOP_DOWN_PCT,SUM,0.66,APPROVED,1,u_anna,2026-06-24
g_pulse_q3_sales,org_healthops_pulse,g_pulse_q3_company,DEPARTMENT,org_unit,team_sales,team_sales,,,closed_won_arr,FY26-Q3,1400000,USD,CAPACITY,SUM,0.63,APPROVED,1,u_anna,2026-06-24
g_pulse_q3_mktg,org_healthops_pulse,g_pulse_q3_company,DEPARTMENT,org_unit,team_growth,team_growth,,,sourced_pipeline,FY26-Q3,4480000,USD,HISTORICAL,DERIVED,0.52,APPROVED,1,u_anna,2026-06-24
g_pulse_q3_cs,org_healthops_pulse,g_pulse_q3_company,DEPARTMENT,org_unit,team_success,team_success,,,expansion_arr,FY26-Q3,350000,USD,HISTORICAL,SUM,0.7,APPROVED,1,u_anna,2026-06-24
g_pulse_q3_fin,org_healthops_pulse,g_pulse_q3_company,DEPARTMENT,org_unit,team_finance,team_finance,,,cac_payback_months,FY26-Q3,16,MONTHS,MANUAL,GUARDRAIL,0.7,APPROVED,1,u_anna,2026-06-24
g_pulse_q3_sales_emea,org_healthops_pulse,g_pulse_q3_sales,TEAM,org_unit,team_sales,team_sales,EMEA,,closed_won_arr,FY26-Q3,900000,USD,CAPACITY,SUM,0.6,APPROVED,1,u_ben,2026-06-26
g_pulse_q3_sales_apac,org_healthops_pulse,g_pulse_q3_sales,TEAM,org_unit,team_sales,team_sales,APAC,,closed_won_arr,FY26-Q3,500000,USD,CAPACITY,SUM,0.55,APPROVED,1,u_ben,2026-06-26
g_peak_q3_company,org_retailmesh_peak,,COMPANY,org_unit,team_company,,,,net_new_arr,FY26-Q3,620000,USD,BOTTOM_UP,SUM,0.6,APPROVED,1,u_anna,2026-06-25
g_peak_q3_sales,org_retailmesh_peak,g_peak_q3_company,DEPARTMENT,org_unit,team_sales,team_sales,,,closed_won_arr,FY26-Q3,500000,USD,CAPACITY,SUM,0.58,APPROVED,1,u_anna,2026-06-25
g_peak_q3_mktg,org_retailmesh_peak,g_peak_q3_company,DEPARTMENT,org_unit,team_growth,team_growth,,,sourced_pipeline,FY26-Q3,1550000,USD,HISTORICAL,DERIVED,0.48,PROPOSED,1,,
g_peak_q3_cs,org_retailmesh_peak,g_peak_q3_company,DEPARTMENT,org_unit,team_success,team_success,,,expansion_arr,FY26-Q3,120000,USD,HISTORICAL,SUM,0.65,APPROVED,1,u_anna,2026-06-25
g_peak_q3_fin,org_retailmesh_peak,g_peak_q3_company,DEPARTMENT,org_unit,team_finance,team_finance,,,cac_payback_months,FY26-Q3,18,MONTHS,MANUAL,GUARDRAIL,0.66,APPROVED,1,u_anna,2026-06-25
g_orbit_q3_company,org_edutech_orbit,,COMPANY,org_unit,team_company,,,,net_new_arr,FY26-Q3,950000,USD,TOP_DOWN_PCT,SUM,0.64,APPROVED,1,u_anna,2026-06-25
g_orbit_q3_sales,org_edutech_orbit,g_orbit_q3_company,DEPARTMENT,org_unit,team_sales,team_sales,,,closed_won_arr,FY26-Q3,780000,USD,CAPACITY,SUM,0.61,APPROVED,1,u_anna,2026-06-25
g_orbit_q3_mktg,org_edutech_orbit,g_orbit_q3_company,DEPARTMENT,org_unit,team_growth,team_growth,,,sourced_pipeline,FY26-Q3,2496000,USD,HISTORICAL,DERIVED,0.5,APPROVED,1,u_anna,2026-06-25
g_orbit_q3_cs,org_edutech_orbit,g_orbit_q3_company,DEPARTMENT,org_unit,team_success,team_success,,,expansion_arr,FY26-Q3,170000,USD,HISTORICAL,SUM,0.68,APPROVED,1,u_anna,2026-06-25
g_orbit_q3_fin,org_edutech_orbit,g_orbit_q3_company,DEPARTMENT,org_unit,team_finance,team_finance,,,cac_payback_months,FY26-Q3,15,MONTHS,MANUAL,GUARDRAIL,0.72,APPROVED,1,u_anna,2026-06-25
g_axis_q3_company,org_logisticsforge_axis,,COMPANY,org_unit,team_company,,,,net_new_arr,FY26-Q3,1320000,USD,TOP_DOWN_PCT,SUM,0.67,APPROVED,1,u_anna,2026-06-25
g_axis_q3_sales,org_logisticsforge_axis,g_axis_q3_company,DEPARTMENT,org_unit,team_sales,team_sales,,,closed_won_arr,FY26-Q3,1100000,USD,CAPACITY,SUM,0.64,APPROVED,1,u_anna,2026-06-25
g_axis_q3_mktg,org_logisticsforge_axis,g_axis_q3_company,DEPARTMENT,org_unit,team_growth,team_growth,,,sourced_pipeline,FY26-Q3,3520000,USD,HISTORICAL,DERIVED,0.53,APPROVED,1,u_anna,2026-06-25
g_axis_q3_cs,org_logisticsforge_axis,g_axis_q3_company,DEPARTMENT,org_unit,team_success,team_success,,,expansion_arr,FY26-Q3,220000,USD,HISTORICAL,SUM,0.69,APPROVED,1,u_anna,2026-06-25
g_axis_q3_fin,org_logisticsforge_axis,g_axis_q3_company,DEPARTMENT,org_unit,team_finance,team_finance,,,cac_payback_months,FY26-Q3,15,MONTHS,MANUAL,GUARDRAIL,0.71,APPROVED,1,u_anna,2026-06-25
